date,name,category,value
2014-12-01,DUCATI,ITA,211
2014-12-01,FORWARD YAMAHA,JPN,138
2014-12-01,ART,FRA,17
2015-12-01,LORENZO Jorge,SPA,330
2015-12-01,ROSSI Valentino,ITA,325
2015-12-01,MARQUEZ Marc,SPA,242
2015-12-01,PEDROSA Dani,SPA,206
2015-12-01,IANNONE Andrea,ITA,188
2015-12-01,SMITH Bradley,GBR,181
2015-12-01,DOVIZIOSO Andrea,ITA,162
2015-12-01,CRUTCHLOW Cal,GBR,125
2015-12-01,ESPARGARO Pol,SPA,114
2015-12-01,PETRUCCI Danilo,ITA,113
2015-12-01,YAMAHA,JPN,407
2015-12-01,HONDA,JPN,355
2015-12-01,DUCATI,ITA,256
2015-12-01,SUZUKI,JPN,137
2015-12-01,APRILIA,ITA，36
2016-12-01,MARQUEZ Marc,SPA,298
2016-12-01,ROSSI Valentino,ITA,249
2016-12-01,LORENZO Jorge,SPA,233
2016-12-01,VIÑALES Maverick,SPA,202
2016-12-01,DOVIZIOSO Andrea,ITA,171
2016-12-01,PEDROSA Dani,SPA,155
2016-12-01,CRUTCHLOW Cal,GBR,141
2016-12-01,ESPARGARO Pol,SPA,134
2016-12-01,IANNONE Andrea,ITA,112
2016-12-01,BARBERA Hector,SPA,102
2016-12-01,HONDA,JPN,369
2016-12-01,YAMAHA,JPN,353
2016-12-01,DUCATI,261,ITA
2016-12-01,SUZUKI,JPN，208
2016-12-01,APRILIA,ITA，101
2017-12-01,MARQUEZ Marc,SPA,298
2017-12-01,DOVIZIOSO Andrea,ITA,261
2017-12-01,VIÑALES Maverick,SPA,230
2017-12-01,PEDROSA Dani,SPA,210
2017-12-01,ROSSI Valentino,ITA,208
2017-12-01,ZARCO Johann,FRA,174
2017-12-01,LORENZO Jorge,SPA,137
2017-12-01,PETRUCCI Danilo,ITA,124
2017-12-01,CRUTCHLOW Cal,GBR,112
2017-12-01,FOLGER Jonas,GER,84
2017-12-01,HONDA,JPN,357
2017-12-01,YAMAHA,JPN,321
2017-12-01,DUCATI,ITA,310
2017-12-01,SUZUKI,JPN,100
2017-12-01,KTM,AUT,69
2018-12-01,MARQUEZ Marc,SPA,321
2018-12-01,DOVIZIOSO Andrea,ITA,245
2018-12-01,ROSSI Valentino,ITA,198
2018-12-01,VIÑALES Maverick,SPA,193
2018-12-01,RINS Alex,SPA,169
2018-12-01,ZARCO Johann,FRA,158
2018-12-01,CRUTCHLOW Cal,GBR,148
2018-12-01,PETRUCCI Danilo,ITA,144
2018-12-01,LORENZO Jorge,SPA,134
2018-12-01,IANNONE Andrea,ITA,133
2018-12-01,HONDA,JPN,375
2018-12-01,DUCATI,ITA,335
2018-12-01,YAMAHA,JPN,281
2018-12-01,SUZUKI,JPN,233
2018-12-01,KTM,AUT,72
2019-12-01,MARQUEZ Marc,SPA,420
2019-12-01,DOVIZIOSO Andrea,ITA,269
2019-12-01,VIÑALES Maverick,SPA,211
2019-12-01,RINS Alex,SPA,205
2019-12-01,QUARTARARO Fabio,FRA,192
2019-12-01,PETRUCCI Danilo,ITA,176
2019-12-01,ROSSI Valentino,ITA,174
2019-12-01,MILLER Jack,AUS,165
2019-12-01,CRUTCHLOW Cal,GBR,133
2019-12-01,MORBIDELLI Franco,ITA,115
2019-12-01,HONDA,JPN,426
2019-12-01,YAMAHA,JPN,321
2019-12-01,DUCATI,318,ITA
2019-12-01,SUZUKI,JPN,234
2019-12-01,KTM,AUT,111
2020-12-01,MIR Joan,SPA,171
2020-12-01,MORBIDELLI Franco,ITA,158
2020-12-01,RINS Alex,SPA,139
2020-12-01,DOVIZIOSO Andrea,ITA,135
2020-12-01,ESPARGARO Pol,SPA,135
2020-12-01,VIÑALES Maverick,SPA,132
2020-12-01,MILLER Jack,AUS,132
2020-12-01,QUARTARARO Fabio,FRA,127
2020-12-01,OLIVEIRA Miguel,POR,125
2020-12-01,NAKAGAMI Takaaki,JPN,116
2020-12-01,DUCATI,ITA,221
2020-12-01,YAMAHA,JPN,204
2020-12-01,SUZUKI,JPN,202
2020-12-01,KTM,AUT,200
2020-12-01,HONDA,JPN,144
2021-12-01,QUARTARARO Fabio,FRA,278
2021-12-01,BAGNAIA Francesco,ITA,252
2021-12-01,MIR Joan,SPA,208
2021-12-01,MILLER Jack,AUS,181
2021-12-01,ZARCO Johann,FRA,173
2021-12-01,BINDER Brad,RSA,151
2021-12-01,MARQUEZ Marc,SPA,142
2021-12-01,ESPARGARO Aleix,SPA,120
2021-12-01,MARTIN Jorge,SPA,111
2021-12-01,VIÑALES Maverick,SPA,106
2021-12-01,DUCATI,ITA,357
2021-12-01,YAMAHA,JPN,309
2021-12-01,SUZUKI,JPN,240
2021-12-01,HONDA,JPN,214
2021-12-01,KTM,AUT,205
2022-12-01,BAGNAIA Francesco,ITA,265
2022-12-01,QUARTARARO Fabio,FRA,248
2022-12-01,BASTIANINI Enea,ITA,219
2022-12-01,ESPARGARO Aleix,SPA,212
2022-12-01,MILLER Jack,AUS,189
2022-12-01,BINDER Brad,RSA,188
2022-12-01,RINS Alex,SPA,173
2022-12-01,ZARCO Johann,FRA,166
2022-12-01,MARTIN Jorge,SPA,152
2022-12-01,OLIVEIRA Miguel,POR,149
2022-12-01,DUCATI,ITA,448
2022-12-01,YAMAHA,JPN,256
2022-12-01,APRILIA,ITA,248
2022-12-01,KTM,AUT,240
2022-12-01,SUZUKI,JPN,199
